brandId,slug,name,productsCount,sourceLogoUrl,sourceUrl,sourceType,licenseNote,recommendedAssetPath,status,comment
yg4yvkeladnr5xqvrhebeaij,asko-ukrem,АСКО-УКРЕМ,3754,https://www.acko.ua/local/templates/new_asko_index/foto/foto-site/logo.svg,https://www.acko.ua/,official_site,Copyrighted (fair use for brand representation),/public/logos/brands/asko-ukrem.svg,approved,Verified official vector SVG logo from manufacturer website
uzfuyhzfzp7ffrbjbbntypll,intertool,Intertool,3289,https://seeklogo.com/images/I/intertool-logo-4B07038676-seeklogo.com.png,https://intertool.ua/,third_party_logo_catalog,Copyrighted (fair use for brand representation),/public/logos/brands/intertool.png,needs_review,Logo sourced from seeklogo.com; needs official site or CDN verification
eznrnzqld2turdhmiga2bvg3,trinix,Trinix,496,https://trinix.ua/wp-content/uploads/trinix-partner-logo-footer.png,https://trinix.ua/,official_site,Copyrighted (fair use for brand representation),/public/logos/brands/trinix.webp,approved,Verified official PNG partner logo from official Ukrainian site footer
fnre6o1eog1zjruvd9ythfuq,ajax,AJAX,467,https://upload.wikimedia.org/wikipedia/commons/e/ec/Ajax_Systems_logo.svg,https://ajax.systems/,wikimedia,Creative Commons Attribution-Share Alike 4.0 International,/public/logos/brands/ajax.svg,approved,Verified SVG logo from Wikimedia Commons
q9zs2wh9p5tlnipj6x3b6fwl,procraft,Procraft,281,https://procraft.ua/catalog/view/theme/default/image/header/logo.svg,https://procraft.ua/,official_site,Copyrighted (fair use for brand representation),/public/logos/brands/procraft.svg,approved,Verified official SVG logo from header of manufacturer website
mh3f1ygsswcvumoqezedznqf,hikvision,Hikvision,244,https://upload.wikimedia.org/wikipedia/commons/e/e2/Hikvision_logo.svg,https://www.hikvision.com/,wikimedia,Public Domain / Copyrighted (fair use),/public/logos/brands/hikvision.svg,approved,Verified SVG logo from Wikimedia Commons
pegrl6kbfkm3669agyyp51r4,dahua-technology,Dahua Technology,176,https://upload.wikimedia.org/wikipedia/commons/2/23/Dahua_Technology_logo.svg,https://www.dahuasecurity.com/,wikimedia,Public Domain / Copyrighted (fair use),/public/logos/brands/dahua-technology.svg,approved,Verified SVG logo from Wikimedia Commons
yli7ds5x0e3aoksrk71vw6gr,zaporozhskyy-zavod-tsvetn-kh-metallov,Запорожский завод цветных металлов,94,https://www.zzcm.com.ua/wp-content/themes/main/img/logo.svg,https://zzcm.com.ua/,official_site,Copyrighted (fair use for brand representation),/public/logos/brands/zaporozhskyy-zavod-tsvetn-kh-metallov.svg,approved,Verified official SVG logo from manufacturer website header
xrfaf8dvf3nyd3tkuavi03k3,biom,Biom,81,https://biom.ua/content/images/2/200x82l90nn0/30074672415085.jpg,https://biom.ua/,official_site,Copyrighted (fair use for brand representation),/public/logos/brands/biom.webp,approved,Verified official JPEG logo from distributor site header
wftjyzqwd7ouiasv59kwt2tv,light-vision,Light Vision,72,https://lightvision.com.ua/wp-content/uploads/2022/01/LV-logo-black.svg,https://lightvision.com.ua/,official_site,Copyrighted (fair use for brand representation),/public/logos/brands/light-vision.svg,approved,Verified official SVG logo from official website uploads
evab6a1khglpbmtejwo3nmd1,tvt-digital,TVT Digital,70,https://tvtdigital.com.ua/wp-content/uploads/tvt_logo.png,https://tvtdigital.com.ua/,official_site,Copyrighted (fair use for brand representation),/public/logos/brands/tvt-digital.webp,approved,Verified official PNG logo from Ukrainian distributor website
ukcu32niz2lxx4fu3zqv5gtz,kraft,Kraft,69,,,,,,skip,No official online resource or brand logo identified for this localized private label power brand
pw0z3i7kgosk9sqj1pv02c4c,cmx,CMX,66,https://cmx.com.ua/wp-content/uploads/cmxaudio.svg,https://cmx.com.ua/,official_site,Copyrighted (fair use for brand representation),/public/logos/brands/cmx.svg,approved,Verified official SVG logo from Ukrainian distributor website uploads
lc1m5dbkejtd45mzldig4e59,abicor-binzel,Abicor Binzel,62,https://seeklogo.com/images/A/abicor-binzel-logo-E319A56BA3-seeklogo.com.png,https://www.binzel-abicor.com/,third_party_logo_catalog,Copyrighted (fair use for brand representation),/public/logos/brands/abicor-binzel.webp,needs_review,Logo sourced from seeklogo.com; needs official site or CDN verification
lrxd3j3wsd9jnr1jzfm3veks,zkteco,ZKTeco,62,https://www.zkteco.com/en/public/static/modules/cms/images/logo.png,https://www.zkteco.com/,official_site,Copyrighted (fair use for brand representation),/public/logos/brands/zkteco.webp,approved,Verified official PNG logo from manufacturer website header
i3uliwv0k6v1zsfcdqd2wry2,gradient,Gradient,58,,,,,,skip,No official brand site found; represents various localized generic consumables/electrical tape
fllqocpwwst0f9j6z553mma0,paton,Paton,55,https://paton.ua/image/logo.svg,https://paton.ua/,official_site,Copyrighted (fair use for brand representation),/public/logos/brands/paton.svg,approved,Verified official SVG logo from manufacturer website header
